date,action,symbol,weight_from,weight_to,reason,excess_20,peak_dd,n_candidates
2026-02-03,EXIT,CMCSA,1.0,0.0,gate_off,0.07272605234567053,0.0,
2026-04-08,ENTER,AMZN,0.0,1.0,emerging_rs,0.033793459650544366,0.0,1.0
2026-05-08,TRIM,AMZN,1.0,0.5,weaken_to_half,-0.020021242795409178,-0.008400296885806346,
2026-05-11,EXIT,AMZN,0.5,0.0,weaken_flat,-0.034025670564690635,-0.021818976010312907,
2026-05-11,ENTER,MDB,0.0,1.0,emerging_rs,0.09244548888029613,0.0,2.0
2026-05-27,EXIT,MDB,1.0,0.0,peak_dd_stop,0.03108833820433654,-0.12017450131734031,
2026-05-28,ENTER,AMAT,0.0,1.0,emerging_rs,0.0649181255170117,0.0,1.0
2026-07-02,EXIT,AMAT,1.0,0.0,peak_dd_stop,0.24564782936684126,-0.16591980909081083,
2026-07-06,ENTER,ZS,0.0,1.0,emerging_rs,0.13502864267024794,0.0,14.0
2026-07-07,EXIT,ZS,1.0,0.0,gate_off,0.1358373385227507,-0.006116195852575501,
2026-07-09,ENTER,META,0.0,1.0,emerging_rs,0.058260901023954315,0.0,2.0
2026-07-13,EXIT,META,1.0,0.0,gate_off,0.16282247483746815,-0.018648916026568707,
2026-07-15,ENTER,CTAS,0.0,1.0,emerging_rs,0.13512825545729346,0.0,14.0
2026-07-16,EXIT,CTAS,1.0,0.0,gate_off,0.1988769394552875,0.0,
2026-08-04,ENTER,ORLY,0.0,1.0,emerging_rs,0.039454576058156166,0.0,3.0
