total_return,total_pnl_usd,max_drawdown,sharpe,avg_exposure,n_trades,config_id,note,window,core,sat,vol_target,cadence,confirm_days,trade_threshold,d_sharpe_vs_base,d_ret_vs_base,d_dd_vs_base,d_sharpe_vs_bh
0.28031294395566553,14015.647197783277,-0.13339264178180643,1.1514293794057473,0.7439236849655705,93,B0_baseline,70/30 vol15 daily thr2%,primary_2025,0.7,0.3,0.15,D,0,0.02,0.0,0.0,0.0,0.08080817197955614
1.4043202232576997,70216.01116288498,-0.203495248556136,0.9734780103967942,0.7082901673205403,373,B0_baseline,70/30 vol15 daily thr2%,secondary_2020,0.7,0.3,0.15,D,0,0.02,0.0,0.0,0.0,0.0999429831461095
0.2827832192524826,14139.160962624132,-0.13589776113384677,1.1526410416172543,0.747833058040066,44,S1_thr5,trade_threshold 5%,primary_2025,0.7,0.3,0.15,D,0,0.05,0.0012116622115070363,0.0024702752968170927,-0.0025051193520403414,0.08201983419106318
1.455712164251017,72785.60821255084,-0.20077631686594055,0.9938648271071766,0.7091751847258454,182,S1_thr5,trade_threshold 5%,secondary_2020,0.7,0.3,0.15,D,0,0.05,0.02038681671038245,0.05139194099331723,0.0027189316901954363,0.12032979985649195
0.29163404976768237,14581.702488384119,-0.1335873309383454,1.1990189611726207,0.7413969740613469,51,S1_weekly_softvol,soft-vol weekly,primary_2025,0.7,0.3,0.15,W,0,0.02,0.047589581766873446,0.01132110581201684,-0.00019468915653897412,0.1283977537464296
1.4526406386685893,72632.03193342946,-0.19947082201703714,0.9966018031661582,0.7073855850639016,218,S1_weekly_softvol,soft-vol weekly,secondary_2020,0.7,0.3,0.15,W,0,0.02,0.02312379276936405,0.048320415410889606,0.0040244265390988465,0.12306677591547355
0.29977949825121386,14988.974912560692,-0.14897390427062607,1.138927053049427,0.8001365019449235,75,S2_vol18,vol_target 18%,primary_2025,0.7,0.3,0.18,D,0,0.02,-0.012502326356320204,0.019466554295548333,-0.015581262488819636,0.06830584562323594
1.6015115754071774,80075.57877035887,-0.22262057095643206,0.992044916323109,0.7601353109161899,310,S2_vol18,vol_target 18%,secondary_2020,0.7,0.3,0.18,D,0,0.02,0.018566905926314825,0.1971913521494777,-0.019125322400296074,0.11850988907242432
0.26059557361881125,13029.778680940562,-0.13339700087267026,1.0929305650411758,0.7393921663826074,95,S3_confirm2,satellite 2-day confirm,primary_2025,0.7,0.3,0.15,D,2,0.02,-0.058498814364571494,-0.01971737033685428,-4.359090863825799e-06,0.02230935761498465
1.3153644131274658,65768.22065637329,-0.21039027417571443,0.9411671865530385,0.7024948941340178,374,S3_confirm2,satellite 2-day confirm,secondary_2020,0.7,0.3,0.15,D,2,0.02,-0.03231082384375561,-0.0889558101302339,-0.006895025619578443,0.06763215930235389
0.28049508505201315,14024.754252600658,-0.14239164777500601,1.1165872620656176,0.7637230417682555,103,S4_80_20,core/sat 80/20,primary_2025,0.8,0.2,0.15,D,0,0.02,-0.03484211734012965,0.0001821410963476211,-0.008999005993199582,0.04596605463942649
1.5014453474480964,75072.26737240482,-0.20589770487613235,0.9847485599868134,0.7277481482775576,399,S4_80_20,core/sat 80/20,secondary_2020,0.8,0.2,0.15,D,0,0.02,0.011270549590019274,0.09712512419039676,-0.00240245631999636,0.11121353273612877
0.2969514488160778,14847.572440803891,-0.15877731516719107,1.0934862494633217,0.8268490420485031,31,STACK_a,80/20 vol18 weekly thr5 confirm2,primary_2025,0.8,0.2,0.18,W,2,0.05,-0.057943129942425564,0.016638504860412295,-0.025384673385384637,0.02286504203713058
1.6947067587398301,84735.3379369915,-0.22979752284314814,0.9893681390330898,0.7848228471074012,131,STACK_a,80/20 vol18 weekly thr5 confirm2,secondary_2020,0.8,0.2,0.18,W,2,0.05,0.015890128636295686,0.29038653548213045,-0.02630227428701215,0.11583311178240518
0.28619138138557965,14309.569069278983,-0.1489499594432515,1.1058303144573256,0.7971144656771518,31,STACK_b,70/30 vol18 weekly thr5 confirm2,primary_2025,0.7,0.3,0.18,W,2,0.05,-0.0455990649484217,0.0058784374299141184,-0.01555731766144508,0.035209107031134446
1.546361347238133,77318.06736190665,-0.2232006046292646,0.9752603862263859,0.7552392066279597,129,STACK_b,70/30 vol18 weekly thr5 confirm2,secondary_2020,0.7,0.3,0.18,W,2,0.05,0.0017823758295917314,0.14204112398043334,-0.01970535607312862,0.10172535897570123
0.41579269210203273,20789.634605101637,-0.2263959296794129,1.0706212074261912,1.0,1,QQQ_buy_hold,reference,primary_2025,,,,,0,0.02,-0.08080817197955614,0.1354797481463672,-0.09300328789760648,0.0
2.4209788368272775,121048.94184136388,-0.35101694168093667,0.8735350272506847,1.0,1,QQQ_buy_hold,reference,secondary_2020,,,,,0,0.02,-0.0999429831461095,1.0166586135695779,-0.14752169312480068,0.0
0.26805282585964707,13402.641292982353,-0.10151330940391545,1.1950509209870446,0.6040100250626567,14,S12_full,reference,primary_2025,,,,,0,0.02,0.043621541581297274,-0.012260118096018457,0.03187933237789098,0.12442971356085342
0.8195290253667293,40976.45126833647,-0.17772632017690349,0.7307043844785249,0.5678937839468919,66,S12_full,reference,secondary_2020,,,,,0,0.02,-0.24277362591826923,-0.5847911978909703,0.025768928379232503,-0.14283064277215973
